feature,coefficient
direkt,14.19183057537253
bezüglich,9.560305761108141
von,8.507034857347076
unter,8.485398023434215
abs,6.221111371280336
drucksache,5.94908637453641
az,5.499006279574831
aufgrund der,5.414644617110062
aktuellen,5.356128808833162
aufgrund,5.314277936869022
der aktuellen,5.234970230859832
aktuellen lage,5.133013490216139
bereich,5.040380548368954
lage,4.875375466477269
heutigen,4.708801139781054
unter az,4.670598252945235
im,4.500048472523326
am heutigen,4.280928280783005
in,4.265885751941073
im bereich,4.160318790660652
zur,3.9993967375120234
plenarsitzung,3.697279658523927
in drucksache,3.694877931065438
am,3.4662591705739842
gemäß,3.432134038499516
beim thema,3.24436458732331
nach,3.1204289404600374
dieser plenarsitzung,3.1128657067235337
thema,3.0661868343436223
volt,2.983453669715775
ödp,2.952093895135214
der fraktion,2.875099380297918
fraktion,2.782906831451584
der,2.7398700335438586
maßnahmen,2.6414695861792508
laut,2.627320741013114
in dieser,2.5987335618202074
direkt zu,2.5583147501319665
beim,2.5169778905343887
behörde,2.3238060703812793
freie wähler,2.3125329358077886
wähler,2.2827005085338112
freie,2.2300774190023125
werner,2.169803222334384
zum bereich,2.1257352671891065
im namen,2.0831021422402736
notwendigen,2.076772191865122
drucksache 20,2.0652184334732993
die,2.0588248164055436
18,2.055415976201471
19,2.0522695077645983
drucksache 19,2.048821625788902
drucksache 18,2.048601704742498
21,2.046099583133912
namen,2.0201434583957196
drucksache 21,1.985188991605181
aufgaben,1.982560928458432
reformen bezüglich,1.9440890651795362
der von,1.8991837121025539
im rahmen,1.8890750083318595
digitalisierung,1.8878725934999991
reformen,1.8865863929237774
20,1.8794601318546116
bürokratieabbau,1.8783934929407273
debatte über,1.8780689530703607
sachsen,1.8765775498538193
werden,1.8512171742452292
rahmen,1.8176167822117082
einzureichen,1.7699175095351514
ministerium,1.7607642486042092
in sachsen,1.7594243583737095
auf,1.7560372421146704
aufgaben nach,1.7246337759714396
entwicklungen,1.7012637265240536
gemeinden in,1.685942391046704
zur vermeidung,1.6694194801039375
vermeidung von,1.6689306109137128
wurde,1.655431989424653
vermeidung,1.6534191715659436
lange,1.6443776725929011
die von,1.6120460146115
gemeinden,1.6061324658716565
die behörde,1.6036248717473143
vorgeschlagenen,1.601462272106369
erlassen,1.599511544029856
namen der,1.5776515415794
leitung von,1.5637034132122274
abs zur,1.543500229085529
leitung,1.542095867669031
das vorliegende,1.5103920191506615
zuständigen,1.5085852653801721
vorliegenden,1.5030943548644728
benötigen,1.4979613067249027
der in,1.4896631899735129
sicherheit,1.485104514311474
nähere,1.4780452474005594
it sicherheit,1.4685740856955551
grundlage,1.4634738007855987
zuständige,1.4593187799677316
direkt in,1.4576162146066347
über,1.4334185215803934
und direkt,1.431384896439271
direkt nicht,1.42338872480712
maßnahmen bezüglich,1.423255092685336
wir die,1.4226652448018227
eine,1.4216804688995626
vorliegende,1.4171675041278788
werden unter,1.4169871919282777
it,1.4077358472060468
der verwaltung,1.4075512102912355
durch,1.4066726414042126
infrastruktur,1.4065903159215924
rahmen der,1.397122499098612
debatte,1.3741764969606396
dieser,1.362075890606175
ermächtigt,1.3602164528967078
hochkrempeln und,1.3476397673136544
hochkrempeln,1.3470071462595283
ärmel hochkrempeln,1.3470071462595283
die ärmel,1.3453452712885814
kann die,1.3449572699953525
ärmel,1.3448041241949162
notwendigen reformen,1.3433950918058912
becker,1.3376791057971003
braun,1.3365432005846476
uns am,1.3346900055431612
hofmann,1.3323585070719886
bürokratieabbau beim,1.3301879330278321
nicht beschleunigen,1.3301879330278321
verwaltung,1.330021791678887
bürger,1.3297280602736885
gemeinsam die,1.3293858959131433
beschleunigen werden,1.3289935251131726
hintertreffen geraten,1.3289457955259798
weiter ins,1.3282873458561928
krause,1.3282635637342821
den bürokratieabbau,1.3279024763941312
wir laut,1.3277154692934365
ins hintertreffen,1.327433342573154
hintertreffen,1.3272747122103858
weber,1.3264916222043244
hartmann,1.3245577032197673
fischer,1.322571917459445
meier,1.3222936974431974
koch,1.3217505355506687
wagner,1.3194160102836816
zimmermann,1.3193356415175712
lehmann,1.318558974855411
internationalen vergleich,1.3156412841667295
renate,1.3145595285574228
schmid,1.3133588419920952
schmitt,1.3128484781885363
schäfer,1.312745336113182
krüger,1.3117208541259173
hoffmann,1.3107753908160125
fragen,1.3107524236063843
schröder,1.3077555667940848
petra,1.3055957493547266
ralf,1.3054882672569335
birgit,1.302955306559118
der leitung,1.3004707984244084
neumann,1.2992218815059349
brigitte,1.297934140348218
dieter,1.297610167436169
wolf,1.297384787840386
julia,1.2967155303326467
christine,1.296692686247738
elisabeth,1.2964953388328875
helga,1.2964465347083503
anna,1.2938650673227072
schmitz,1.2932136861194967
zügig,1.290855553132459
frank,1.2903963570729748
schmidt,1.2903212802658448
im internationalen,1.2899457737314461
digitalisierung und,1.2892280303545236
bauer,1.2878931719544071
maria,1.286769167882229
jürgen,1.2854738708107625
die notwendigen,1.2849552411340373
stefan,1.284901924677009
sabine,1.284547503104773
christian,1.2829360906382312
markus,1.2826029765660394
noch weiter,1.2824025534304395
gisela,1.2823619187627102
müller,1.280771782235821
beschleunigen,1.2807085578239608
monika,1.2797307047088147
herbst,1.2795548238016852
uwe,1.278030930496836
schwarz,1.2773983601330496
andreas,1.277365608558263
saarland,1.2770644491294756
gerda,1.2741078723396952
ursula,1.2736273696668012
klein,1.2731326876446474
richter,1.2703131049079106
geraten,1.2685638445119747
klaus,1.2681584979373417
michael,1.2597521117008643
martin,1.25442186747499
feststellen dass,1.254361235593705
thomas,1.2536139742352381
wolfgang,1.2513306867056284
weg bringen,1.246763798443543
bremen,1.2311569302545664
infrastruktur bezüglich,1.22418080157163
und verspielt,1.223944342480791
zögert gefährdet,1.2238901134017002
gefährdet am,1.2235468005597951
die digitalisierung,1.2234599975638571
daten,1.2229512131325
zögert,1.2228587372555912
den industriestandort,1.2212591034389502
industriestandort deutschland,1.2193581015486328
notwendigen investitionen,1.218916608456767
verspielt,1.2182565358425865
wer heute,1.2123683295998806
industriestandort,1.212038099289782
unsere zukunft,1.2116676673998843
heute bei,1.2115205443488382
brandenburg,1.2069416533189876
landesbehörde in,1.2056901008858087
landesbehörde,1.204846451601393
den notwendigen,1.204843985581416
hessen,1.2027998327201297
und die,1.1968532150490738
hamburg,1.1954595212486394
und im,1.1944539384755384
gesetz,1.1928282066801958
behörde in,1.1919906758431882
vergleich,1.191143515093293
und sachorientierte,1.187570252888745
in saarland,1.1874457555327065
sachorientierte debatte,1.1873818735651644
eingefordert wurde,1.1865539506092617
recht am,1.1862136193098813
sachorientierte,1.1858862069843157
ehrliche und,1.1851275669006551
bürger erwarten,1.1807449673366082
niedersachsen,1.1793446289925098
eine ehrliche,1.1776849758888563
feststellen,1.176310326131759
erwarten von,1.1748511830124435
die infrastruktur,1.173667204063506
direkt eine,1.1735494005153004
eingefordert,1.1729478696424562
ehrliche,1.171320278458746
thüringen,1.1678233201162547
in bremen,1.1640434203934586
umsetzung,1.1613472162525935
in brandenburg,1.1573191704881078
gefährdet,1.1498737479942547
in hessen,1.1491568086924184
vergleich direkt,1.148869318174219
direkt noch,1.1478375900616626
eine grundlegende,1.1469108986421355
konsequente überarbeitung,1.145660681111002
entwurfs zum,1.145660681111002
uns zu,1.1450113085172924
daher fordert,1.144976313881226
vorliegenden entwurfs,1.1437289727794273
sie uns,1.142594786487736
ausführung,1.1413095652098435
digitalisierung der,1.1407300399424187
überarbeitung des,1.1403056635688693
in niedersachsen,1.1380792147815093
eine konsequente,1.1365101278514333
entwurfs,1.135956100114153
wir müssen,1.1328153614622978
unterstützt,1.1327320469482929
des vorliegenden,1.132626234419882
überarbeitung,1.1324024150997631
in thüringen,1.1306166198610907
in hamburg,1.1301034266299195
gegen bescheide,1.1279840275373985
abs keine,1.1279840275373985
bescheide der,1.1279840275373985
behörde bezüglich,1.1279840275373985
ausschuss betonte,1.1279840275373985
bei den,1.12768254199808
keine aufschiebende,1.1272687154849839
wirkung wie,1.127072526347343
widerspruch gegen,1.126705251681265
zuständigen behörde,1.1262804531487687
aufschiebende wirkung,1.1260120347390923
rheinland pfalz,1.1258841442545087
aufschiebende,1.1257800666819
bescheide,1.1253099450740434
ein widerspruch,1.1238270267280466
betonte,1.1237524519672577
pfalz,1.1236996055304267
grundlegende,1.12250350985269
wurden unter,1.1200681574435147
abs können,1.1194599511499457
ordnungswidrigkeit mit,1.1194599511499457
die auskunftspflichten,1.1194599511499457
auskunftspflichten bezüglich,1.1194599511499457
auf anzeige,1.1194599511499457
anzeige von,1.1185550366482857
als ordnungswidrigkeit,1.1184861013580898
einer geldbuße,1.1183277235724731
geschützt werden,1.1182868358847582
der zuständigen,1.1180821603707365
auskunftspflichten,1.117618952613336
geldbuße,1.1171876428742096
rheinland,1.116515073777455
konsequente,1.1162429237537765
selbstverwaltung,1.115577015939746
hat nach,1.114853074692515
in bayern,1.1137358631178476
plenarsitzung angesichts,1.1125308173643136
heutigen plenarsitzung,1.1125308173643136
geahndet werden,1.112502351045889
entwicklungen beim,1.1122647819485638
ordnungswidrigkeit,1.1120009551253476
endlich wirksam,1.1111714085133053
der entwicklungen,1.1108516856623114
bayern,1.110245036763198
geahndet,1.1090495277630092
wirksam und,1.1079485622383753
anzeige,1.1054192739517632
verstöße gegen,1.1028310310591385
lösen können,1.097891469217862
die interessen,1.095346119427957
verstöße,1.0905775610574702
können in,1.0905405086167828
lassen sie,1.089896503101261
keine,1.0887311168139517
formulare bezüglich,1.088229375154203
bitten alle,1.088229375154203
dass unvollständig,1.088229375154203
ausgefüllte formulare,1.088229375154203
alle antragsteller,1.088229375154203
unvollständig ausgefüllte,1.088229375154203
auf az,1.088229375154203
ausgefüllte,1.088097866089643
unter bezugnahme,1.0879482407203338
antragsteller in,1.087637348620607
nicht bearbeitet,1.0870642705207607
bezugnahme,1.0868050321597862
bezugnahme auf,1.0868050321597862
investitionen in,1.0858273026168488
mecklenburg vorpommern,1.0854448753164516
unvollständig,1.0841594073290282
vorpommern,1.0841496247163789
geschützt,1.0839500057106173
mecklenburg,1.0838061617023018
widerspruch,1.082954330065156
beachten dass,1.0828959274226282
wir bitten,1.0812313781646647
formulare,1.0804546829633008
bearbeitet werden,1.0789783667097113
als wissenschaftliche,1.0770733176299763
arbeitspapier drucksache,1.0770733176299763
vorliegende arbeitspapier,1.0770733176299763
arbeitspapier,1.0760918241046993
fragen wie,1.0759658856220393
zukunft,1.0755095341907637
anstehenden verhandlungen,1.0752156286525345
wissenschaftliche grundlage,1.0750723888216598
gemäß drucksache,1.073794769287316
ausschuss,1.0736238469907096
zu beachten,1.0718159671760947
die anstehenden,1.067371365691473
zügig direkt,1.067200211774348
schleswig holstein,1.0648732124158726
bearbeitet,1.0648603232411966
verhandlungen über,1.064839604328021
des,1.0633712197940335
holstein,1.0623571488446475
internationalen,1.0623123712849347
beachten,1.0595232211838022
baden württemberg,1.059256026379105
württemberg,1.058967042369807
direkt auf,1.05882580223263
in rheinland,1.0584678039181363
antragsteller,1.055642446831201
schleswig,1.0544542227062783
abs entstehenden,1.0531755894453503
des haushaltsplans,1.0522907509604111
haushaltsplans,1.0521280264080366
entstehenden kosten,1.0510416590205571
baden,1.0508512387703082
verspielt direkt,1.0494773418538956
direkt unsere,1.0494773418538956
in schleswig,1.0491570398517518
erwarten,1.0453595681351204
zeigt,1.0448833288849741
kontrolle von,1.0444619577689482
unter kontrolle,1.0441421618020021
deutschland und,1.0436901678235984
in mecklenburg,1.040926602129214
entstehenden,1.0388211314103144
die bürgerinnen,1.0379431000987382
gedeckt,1.0365983654937259
in nordrhein,1.0338608817497763
der heutigen,1.0336360969741927
finanzierung von,1.0325552714321204
in baden,1.0319407570475998
vertretenen bürger,1.0318292794771127
wirkung,1.0317702045352892
dramatische weise,1.0313372723970113
auf dramatische,1.0309037515001525
die aufgaben,1.0298260707041786
wirksam,1.0291852259753183
für das,1.0290803400071438
weise dass,1.0287392230769477
die vorgeschlagenen,1.028708079198032
regierung an,1.027997934077118
sachsen anhalt,1.027860062079517
vorgeschlagenen maßnahmen,1.0277792412102131
in berlin,1.0276256271547886
lebensrealität der,1.027427234411228
anstehenden,1.0273316588387291
vorbeigehen,1.0269579885821576
der lebensrealität,1.0268904681648083
anhalt,1.0267740284133342
zeigt auf,1.026494698215401
staatlichen,1.0262131664851597
vertretenen,1.023335304165877
mitarbeiter der,1.0199386594127482
bitten,1.0192428314921713
sich gemeinden,1.0186297795679162
interkommunalen zusammenarbeit,1.0186297795679162
der interkommunalen,1.0186297795679162
interkommunalen,1.0186297795679162
lebensrealität,1.0184737124505343
fordert,1.0181055595553676
zusammengeschlossen um,1.0180256175427864
zusammenarbeit haben,1.017965289668529
die mitarbeiter,1.0167803109197973
nordrhein westfalen,1.0163045288290231
zusammengeschlossen,1.016262000122601
westfalen,1.015981488851671
herren wir,1.015081899936931
dramatische,1.0145988608565726
die probleme,1.013909548087248
initiative von,1.0123548850476725
die dem,1.0104744197616604
müssen uns,1.0098307562606126
der initiative,1.0094308133101622
wissenschaftliche,1.0091914400270636
berlin,1.0075676077968507
nordrhein,1.0042548760479764
zu recht,1.003544082159739
direkt eingefordert,1.0021850385222133
im ausschuss,1.001277442888867
maßnahmen der,0.9978281627631448
des landes,0.9962969091197638
sicherheit bezüglich,0.9962906549080557
zur it,0.9952215898764982
dem land,0.9951389416163346
erhebung und,0.9948179383197779
verarbeitung personenbezogener,0.9937206643188482
und verarbeitung,0.9934808603408724
daten zur,0.9901930041051893
die finanzierung,0.9901208915705108
die erhebung,0.9894813711726794
personenbezogener daten,0.9893877126228515
personenbezogener,0.9890759758530699
direkt vor,0.9883330956172464
abs und,0.9871150033739211
von uns,0.9858612927300202
überwacht,0.9856547099952084
kosten für,0.9836332992717972
verarbeitung,0.9833409383848415
direkt lösen,0.9803904874132447
dient,0.9793472017172568
richtet sich,0.9780826427437274
direkt im,0.9779413201079221
direkt geahndet,0.9774774339287108
geldbuße direkt,0.9774774339287108
hat unter,0.9740012081454208
vorsitz von,0.9723443335043408
grundlage für,0.9706766865920686
erhebung,0.9694732229136924
interessen,0.9660926965031467
richtet,0.9610759423793229
auf den,0.9609103837623126
sich nach,0.9596240970660666
von renate,0.9573020767894531
von ralf,0.9564820768693941
vorsitz,0.9564746814425621
von frank,0.9548430098562739
von martin,0.9531792089927975
von elisabeth,0.9529433716763005
der kommunalen,0.9525071020096111
von christian,0.9514986485722257
von sabine,0.9508294034859806
werden wir,0.9501144662754597
ins,0.9497653142872996
durch die,0.9492916330766271
von ursula,0.9483967717995478
kommunalabgabenrecht,0.9483895463883328
von michael,0.9482967375549045
von helga,0.9469093116930001
justizreform,0.9464718152039817
pflegereform,0.945648259761993
lösen,0.9448865052187767
plenarsitzung auf,0.9448090367132115
absichtserklärungen zum,0.9448090367132115
von petra,0.9447962575063099
konkrete gesetzliche,0.9445981907618742
umsetzung von,0.9445032948744981
von klaus,0.9444552664495091
von dieter,0.9444287289984157
weiteren absichtserklärungen,0.9443361199396141
benötigen in,0.9441555441007494
rentensystem,0.9441235583133424
arbeitsmarktreform,0.9433950076502383
von julia,0.9433073140533792
stromnetzausbau,0.9431489624973355
kulturförderung,0.9427700060732672
von anna,0.9426176196195262
absichtserklärungen,0.9418398066029853
von andreas,0.9418026624210731
lage zu,0.9406996797809917
wird von,0.9405993993917716
straßenbau,0.9399784657506481
schienennetzmodernisierung,0.939802978142625
von stefan,0.9395262209881671
ganztagsbetreuung,0.9395154222596312
von brigitte,0.939002870503118
strafvollzug,0.9388311786440134
eine konkrete,0.9387480407944326
auf vorschlag,0.9371402107500256
und wird,0.9370840737612559
von birgit,0.9370596589297513
polizeigesetzgebung,0.936848534189736
wir benötigen,0.9360871895481305
von maria,0.935892243918594
haushaltsdebatte,0.9356164039291156
vorschlag von,0.93511921359455
die debatte,0.9344308470992749
von uwe,0.9343666312191045
von markus,0.934248076411846
gleichstellungspolitik,0.9336096907624832
keine weiteren,0.9328823040001687
gesetzliche grundlage,0.9325210436002336
hochwasserschutz,0.9319284357429893
wasserstoffstrategie,0.9316964507816619
bürgerdienste,0.9315119528300738
von jürgen,0.9311298723532019
trinkwasserversorgung,0.9307145077589833
von wolfgang,0.9305294535765157
krankenhausfinanzierung,0.9300740421819428
von christine,0.9293767539491499
von gisela,0.9291234278080299
wirtschaftsförderung,0.928322645166355
zu verbessern,0.9279794441483844
von monika,0.9275749273388297
verkehrsinfrastruktur,0.9274761380448472
parteienfinanzierung,0.9271549514522089
bildungspolitik,0.9270533716048918
entbürokratisierung,0.9252727668757125
nähere regelungen,0.9238984636573835
ermächtigt gemäß,0.9238984636573835
unter zeichnung,0.9238984636573835
zeichnung von,0.9238984636573835
abs unter,0.9238984636573835
zeichnung,0.923523719446681
regelungen bezüglich,0.9233933758434478
kontrolle,0.9231973724105599
rahmen des,0.9228076423216381
von thomas,0.9226571773182123
wird ermächtigt,0.9225961795860131
zuständige ministerium,0.9224733014993919
fragen bezüglich,0.9220848204067419
rechtsverordnung nähere,0.9218670177751331
von gerda,0.9212684292030874
schieben und,0.9211542342484839
drängenden fragen,0.9211326368136813
bank zu,0.9209659667318127
ministerium in,0.9198331193204723
das zuständige,0.9194392750332139
die drängenden,0.9190738060206518
damit die,0.9189742773550079
lobbyregister,0.9185439685296779
mitarbeiter,0.9178917608658015
lösung sein,0.9175636003636707
haushaltsplans direkt,0.9173283798537736
direkt gedeckt,0.9173283798537736
drängenden,0.916715191159715
gesetz und,0.9160395151973213
steuerpolitik,0.9160113299944682
zu schieben,0.9152569822799869
landwirtschaftspolitik,0.9148319071343315
verordnungsblatt,0.914433326723418
tritt am,0.914433326723418
dieses landesgesetz,0.914433326723418
verordnungsblatt gvbl,0.914433326723418
und verordnungsblatt,0.914433326723418
landesgesetz tritt,0.914433326723418
gvbl,0.914433326723418
landesgesetz,0.914433326723418
direkt geschützt,0.9140628035472327
interessen direkt,0.9140628035472327
verkündung im,0.9137627804024581
zu übertragen,0.9135252833064252
lange bank,0.9135123199477249
katastrophenschutz,0.9133583135272824
am tage,0.9129938513677661
federführung von,0.912745512205063
verhandlungen,0.9126931298501814
kommunalen,0.912544496191415
durch rechtsverordnung,0.911751623308417
artenvielfalt,0.9115955851659505
der verkündung,0.9114579147839409
einheitlichen durchführung,0.9108115309419152
behördlichen aufgaben,0.9108115309419152
regelmäßig auskunft,0.9108115309419152
abs sind,0.910491790787628
der behördlichen,0.9098072238943183
ministerium unter,0.9096133375034484
laut der,0.9090714192880547
unter federführung,0.9090050796641128
gesundheitsversorgung,0.9088040232657402
verpflichtet dem,0.9077595696372758
verkündung,0.9074847654193021
klimaschutzgesetz,0.9065574605765236
sicherstellung einer,0.9059272695686523
sozialpolitik,0.9056075327980389
behördlichen,0.9055281990339596
einer einheitlichen,0.9050816191005494
investitionen,0.9050339062592466
auskunft über,0.9048964349052205
förderkonzept für,0.9047213554122635
neue förderkonzept,0.9047213554122635
experten durch,0.9047213554122635
vorgeschlagene neue,0.904372034262504
förderkonzept,0.904250739486695
hat wichtige,0.9041813677052004
angesichts der,0.9041367363042391
wahlrechtsreform,0.9041220438505762
erkenntnisse für,0.9036515016122736
wichtige erkenntnisse,0.9036159478535487
schieben,0.9027116439065911
tage nach,0.9023968492023167
die gemeinden,0.9022028962776159
kommission von,0.9017343359169305
die lange,0.9016841308670369
zur sicherstellung,0.9014848467340798
zu erteilen,0.9014526075846645
wohnungsbau,0.9009396028929492
anhörung von,0.8982566853711275
die kommunen,0.8982026869253567
forschungsstand zusammen,0.8980872951048564
fasst den,0.8980872951048564
dokument drucksache,0.8980872951048564
den forschungsstand,0.8980872951048564
zukünftigen technologischen,0.8980872951048564
dem ministerium,0.8979847545945601
entwicklungen bezüglich,0.897729003262587
forschungsstand,0.897011593423723
von experten,0.8967935987750114
durchführung der,0.8961633108431568
einen ausblick,0.8961592490909988
technologischen entwicklungen,0.8961400844372809
fachkräftemangel,0.8957755390694745
von werner,0.8951123789455527
ausblick auf,0.8947506274901457
rechtsverordnung,0.8946757795875518
das dokument,0.8942215307638924
fasst,0.8921365302153551
ausblick,0.8918285890915773
verbraucherschutz,0.8907880292897478
strukturwandel,0.8907739832879353
bringen,0.8895284949902137
die lösung,0.8893990378721306
die zukünftigen,0.8893125579858917
federführung,0.8889734125059353
auskunft,0.887469485596738
und gibt,0.8854778885740491
einheitlichen,0.8852915530205101
erteilen,0.885060217563364
die anhörung,0.8828742084726313
sicherstellung,0.8819166232945556
dokument,0.8800528658234423
initiative,0.8799121032782884
zusammen und,0.8777130596878575
den weg,0.8772758999077392
technologischen,0.8770915778620562
der regierung,0.8767310253739204
zu treffen,0.874150173967243
von minister,0.8729677205737233
vorgeschlagene,0.872373297524761
übertragen,0.871066596936536
gibt einen,0.8710557115877771
gegen,0.8698184089199544
sein die,0.8696958501669273
tritt,0.8682615523238382
haben sich,0.867841595875032
bank,0.8669753624989887
und verteidigungspolitik,0.8562409483400242
government gesetz,0.855414406728996
geliefert,0.8550773242390203
direkt vorbeigehen,0.8548459389971211
bürger direkt,0.8527885480698985
im gesetz,0.8511232483467364
öffentlicher personennahverkehr,0.848735836014949
in kraft,0.8483887341399621
government,0.8474999894823726
unter der,0.8473266470932271
flüchtlings und,0.8471376530887689
digitalpakt schule,0.8469953760650653
auftrag,0.8466298213992166
und migrationspolitik,0.8463400753478164
flüchtlings,0.8459602484344062
verteidigungspolitik,0.8457547407746082
direkt überwacht,0.8453508475820294
die kommission,0.8452000179821313
zukünftigen,0.8448125841965515
energiewende,0.8446837092345733
durchführung,0.8445449203814605
plenarsitzung vor,0.8442632519300808
historischen richtungsentscheidung,0.8442632519300808
richtungsentscheidung bezüglich,0.8442632519300808
grundlegende kehrtwende,0.8442632519300808
kehrtwende benötigen,0.8442632519300808
richtungsentscheidung,0.8427438871072791
einer historischen,0.8423656596193797
die verantwortung,0.8420615668804331
dient als,0.8416326920170977
genehmigungsbehörde in,0.8409257330655765
abs auf,0.8409257330655765
härtefällen kann,0.8409257330655765
die genehmigungsbehörde,0.8407976739615886
personennahverkehr,0.8407905257785201
befristete ausnahmen,0.8405278719450785
ausnahmen bezüglich,0.8403208734281473
genehmigungsbehörde,0.839892619878099
von härtefällen,0.8398569998382377
stehen heute,0.8397723434113478
härtefällen,0.8387599342823626
kehrtwende,0.8381342836256279
gesetzliche,0.835688649379751
kann nicht,0.8355577041161336
es kann,0.8349606076074801
namen von,0.8348869901602246
direkt geliefert,0.83154749869467
bundeswehr und,0.8309010463816348
erkenntnisse,0.8294407588912549
regelmäßig,0.8293366605021343
kommunale selbstverwaltung,0.829329924525849
wir feststellen,0.8278194856179913
weichen beim,0.8260213514762648
plenarsitzung ein,0.8260213514762648
08,0.8254958808015004
neu stellen,0.8254233545334265
